item,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CRC,EUR,GBP,HKD,IDR,ILS,INR,JPY,KRW,KWD,KZT,MXN,MYR,NOK,NZD,PEN,PHP,PLN,QAR,RUB,SAR,SGD,THB,TRY,TWD,UAH,USD,UYU,VND,ZAR
Falchion Case Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
Game License,5500,213999,2295,7649,2049,1425,1430000,10300,6700000,955000,1529,1279,11600,22999900,5325,119000,215000,2050000,455,730000,30400,7000,15900,2649,5800,84000,7395,5499,87000,5600,2150,56900,27495,46200,55000,1499,61000,34000000,25500
Name Tag,750,28399,305,999,269,190,190000,1400,890000,127000,199,169,1560,3039900,700,15800,28500,275000,60,97000,4000,920,2150,349,760,11200,980,729,11500,750,285,7500,3625,6100,7300,199,8100,4550000,3400
Sticker Crate Key,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
Weapon Case Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
casket,750,28399,305,999,269,190,190000,1400,890000,127000,199,169,1560,3039900,700,15800,28500,275000,60,97000,4000,920,2150,349,760,11200,980,729,11500,750,285,7500,3625,6100,7300,199,8100,4550000,3400
community_11 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_12 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_13 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_15 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_16 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_17 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_18 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_19 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_20 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_21 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_22 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_23 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_24 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_25 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_26 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_27 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_28 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_29 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_30 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
community_31 Key,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
coupon - amontobin_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - amontobin_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - austinwintory_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - austinwintory_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - awolnation_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - awolnation_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - awp_country,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - baackstabber,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - bbnos_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - bbnos_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - beartooth_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - beartooth_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - bestiary_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - bf2042_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - blitzkrieg,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - blood_broiler,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - bombsquad_foil,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - bossyburger,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - catcall,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - chi_bomb,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - chicken_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - chickenstrike,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - comm2018_01_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - community2021_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - crate_patch_pack01,650,24899,270,899,239,165,167000,1200,780000,112000,179,149,1380,2699900,620,13900,25000,240000,53,85000,3600,810,1900,305,670,9800,865,639,10000,660,250,6600,3195,5500,6400,175,7100,4000000,3000
coupon - crate_patch_pack_hlalyx,650,24899,270,899,239,165,167000,1200,780000,112000,179,149,1380,2699900,620,13900,25000,240000,53,85000,3600,810,1900,305,670,9800,865,639,10000,660,250,6600,3195,5500,6400,175,7100,4000000,3000
coupon - crate_sprays_community_1,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - crate_sprays_vcap1,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - crate_xray_p250,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
coupon - cs20_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - cs_on_the_mind,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - csgo10_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - ctbanana,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - damjanmravunac_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - damjanmravunac_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - danielsadowski_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - danielsadowski_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - danielsadowski_02,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - danielsadowski_02_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - danielsadowski_03,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - danielsadowski_03_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - darude_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - darude_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - delicious_tears,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - dinked,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - dontworryimpro,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - doomed,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - dren_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - dren_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - drugwarveteran,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - eco_rush,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - enfu_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - feedme_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - feedme_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - feral_predators_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - fightlikeagirl,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - firestarter_holo,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - flickshot,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - fox,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - halo_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - hamster_hawk,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - handmadeflash,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - headless_chicken,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - headshot_guarantee,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - hlalyx_sticker_capsule,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - hohoho,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - hostage_rescue,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - hotlinemiami_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - hotlinemiami_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - ianhultquist_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - ianhultquist_01_stattrak,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - illuminate_capsule_01,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - illuminate_capsule_02,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - illuminate_sprays_capsule_01,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - initiators_musickit_capsule,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
coupon - initiators_stattrak_musickit_capsule,2900,113999,1225,4099,1099,760,760000,5500,3550000,510000,819,689,6200,12199900,2835,63500,114000,1100000,240,390000,16200,3700,8600,1399,3050,45000,3950,2899,46500,2995,1150,30500,14595,24600,29500,799,32500,18200000,13700
coupon - just_trolling,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - kawaiikiller,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - kawaiikiller_t,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
coupon - kellybailey_01,1900,70999,765,2549,679,475,475000,3500,2220000,319000,509,429,3800,7599900,1775,39500,71000,690000,150,245000,10100,2320,5350,875,1900,28000,2450,1799,29000,1895,715,18900,9095,15300,18300,499,20300,11400000,8500
